Title,Year,month,Rated,Runtime,Country,Director,Genre,Language,Production,Metascore,imdbRating
Mary Poppins,1964,6,G,139,USA,Robert Stevenson,Comedy,English,Walt Disney Productions,88.0,7.8
My Fair Lady,1964,12,G,170,USA,George Cukor,Drama,English,Warner Bros. Pictures,95.0,7.8
Zorba the Greek,1964,12,Not Rated,142,Greece,Michael Cacoyannis,Comedy,English,Fox,,7.7
Darling,1965,8,TV-MA,128,UK,John Schlesinger,Drama,English,Lionsgate,,7.2
Doctor Zhivago,1965,12,PG-13,197,USA,David Lean,Drama,English,MGM,69.0,8.0
Ship of Fools,1965,10,Not Rated,149,USA,Stanley Kramer,Drama,English,Columbia Pictures,,7.2
The Sound of Music,1965,4,G,172,USA,Robert Wise,Biography,English,20th Century-Fox,63.0,8.0
A Thousand Clowns,1965,9,Unrated,118,USA,Fred Coe,Comedy,English,Harrell Incoporated,,7.5
Alfie,1966,8,PG,114,UK,Lewis Gilbert,Comedy,English,Paramount Pictures,,7.1
A Man for All Seasons,1966,5,G,120,UK,Fred Zinnemann,Biography,English,Sony Pictures Home Entertainment,72.0,7.7
The Sand Pebbles,1966,12,PG-13,182,USA,Robert Wise,Adventure,English,Twentieth Century Fox Home Entertainment,,7.6
Who's Afraid of Virginia Woolf?,1966,6,Not Rated,131,USA,Mike Nichols,Drama,English,Warner Home Video,75.0,8.0
Bonnie and Clyde,1967,8,R,111,USA,Arthur Penn,Action,English,Warner Brothers/Seven Arts,86.0,7.8
Doctor Dolittle,1967,12,Approved,152,USA,Richard Fleischer,Adventure,English,20th Century Fox,34.0,6.2
The Graduate,1967,12,PG,106,USA,Mike Nichols,Comedy,English,Embassy Pictures/Rialto Pictures,83.0,8.0
Guess Who's Coming to Dinner,1967,12,Not Rated,108,USA,Stanley Kramer,Comedy,English,Columbia Pictures Corporation,63.0,7.8
In the Heat of the Night,1967,8,Not Rated,110,USA,Norman Jewison,Crime,English,MGM,75.0,8.0
Funny Girl,1968,9,G,151,USA,William Wyler,Biography,English,Columbia Pictures,89.0,7.4
The Lion in Winter,1968,10,PG,134,UK,Anthony Harvey,Biography,English,Nelson Entertainment,,7.9
Oliver!,1968,9,G,153,UK,Carol Reed,Drama,English,Sony Pictures Home Entertainment,74.0,7.4
"Rachel, Rachel",1968,8,APPROVED,101,USA,Paul Newman,Drama,English,Warner Bros.,,7.5
Romeo and Juliet,1968,10,PG,138,UK,Franco Zeffirelli,Drama,English,Paramount Home Video,,7.6
Anne of the Thousand Days,1969,12,PG,145,UK,Charles Jarrott,Biography,English,Universal Pictures,,7.5
Butch Cassidy and the Sundance Kid,1969,9,PG,110,USA,George Roy Hill,Biography,English,20th Century Fox,66.0,8.0
"Hello, Dolly!",1969,12,G,146,USA,Gene Kelly,Adventure,English,20th Century Fox,51.0,7.1
Midnight Cowboy,1969,6,R,113,USA,John Schlesinger,Drama,English,United Artists,79.0,7.8
Z,1969,12,M/PG,127,France,Costa-Gavras,Crime,French,Rialto Pictures,,8.3
Airport,1970,3,G,137,USA,"George Seaton, Henry Hathaway",Action,English,Universal Pictures,42.0,6.6
Five Easy Pieces,1970,9,R,98,USA,Bob Rafelson,Drama,English,Columbia Pictures,85.0,7.5
Love Story,1970,12,PG,100,USA,Arthur Hiller,Drama,English,Paramount Pictures,84.0,6.9
Patton,1970,4,GP,172,USA,Franklin J. Schaffner,Biography,English,Twentieth Century Fox Home Entertainment,91.0,7.9
A Clockwork Orange,1971,2,R,136,UK,Stanley Kubrick,Crime,English,Warner Bros.,80.0,8.3
Fiddler on the Roof,1971,11,G,181,USA,Norman Jewison,Drama,English,United Artists,67.0,8.0
The French Connection,1971,10,R,104,USA,William Friedkin,Action,English,20th Century Fox,94.0,7.7
The Last Picture Show,1971,10,R,118,USA,Peter Bogdanovich,Drama,English,Columbia Pictures,93.0,8.0
Nicholas and Alexandra,1971,12,GP,183,UK,Franklin J. Schaffner,Biography,English,Sony Pictures Home Entertainment,,7.2
Cabaret,1972,2,PG,124,USA,Bob Fosse,Drama,English,Twentieth Century Fox Home Entertainment,80.0,7.8
Deliverance,1972,8,R,109,USA,John Boorman,Adventure,English,Warner Bros.,82.0,7.7
The Godfather,1972,3,R,175,USA,Francis Ford Coppola,Crime,English,Paramount Pictures,100.0,9.2
Sounder,1972,4,G,105,USA,Martin Ritt,Drama,English,Rainbow Group / KOCH Entertainment,80.0,7.6
American Graffiti,1973,8,PG,110,USA,George Lucas,Comedy,English,Universal Pictures,97.0,7.4
The Exorcist,1973,12,R,122,USA,William Friedkin,Horror,English,Warner Bros. Pictures,81.0,8.0
The Sting,1973,12,PG,129,USA,George Roy Hill,Comedy,English,Universal Pictures,83.0,8.3
A Touch of Class,1973,8,PG,106,UK,Melvin Frank,Comedy,English,Media Home Entertainment,,6.5
Chinatown,1974,6,R,130,USA,Roman Polanski,Drama,English,Paramount Pictures,92.0,8.2
The Conversation,1974,6,PG,113,USA,Francis Ford Coppola,Drama,English,Paramount Pictures,85.0,7.8
The Godfather: Part II,1974,12,R,202,USA,Francis Ford Coppola,Crime,English,Paramount Pictures,90.0,9.0
Lenny,1974,12,R,111,USA,Bob Fosse,Biography,English,Twentieth Century Fox Home Entertainment,61.0,7.6
The Towering Inferno,1974,1,PG,165,USA,John Guillermin,Action,English,20th Century Fox,69.0,6.9
Barry Lyndon,1975,12,PG,185,UK,Stanley Kubrick,Adventure,English,Warner Bros.,89.0,8.1
Dog Day Afternoon,1975,12,R,125,USA,Sidney Lumet,Biography,English,WARNER BROTHERS PICTURES,86.0,8.0
Jaws,1975,6,PG,124,USA,Steven Spielberg,Adventure,English,Universal Pictures,87.0,8.0
Nashville,1975,7,R,160,USA,Robert Altman,Comedy,English,Paramount Pictures,96.0,7.7
One Flew Over the Cuckoo's Nest,1975,11,R,133,USA,Milos Forman,Drama,English,United Artists,83.0,8.7
All the President's Men,1976,4,PG,138,USA,Alan J. Pakula,Biography,English,Warner Home Video,80.0,8.0
Bound for Glory,1976,12,PG,147,USA,Hal Ashby,Biography,English,United Artists,70.0,7.3
Network,1976,11,R,121,USA,Sidney Lumet,Drama,English,MGM/United Artists,83.0,8.1
Rocky,1976,12,PG,120,USA,John G. Avildsen,Drama,English,United Artists,70.0,8.1
Taxi Driver,1976,2,R,114,USA,Martin Scorsese,Crime,English,Columbia Pictures,94.0,8.3
Annie Hall,1977,4,PG,93,USA,Woody Allen,Comedy,English,United Artists,92.0,8.0
The Goodbye Girl,1977,11,PG,111,USA,Herbert Ross,Comedy,English,MGM Home Entertainment,64.0,7.4
Julia,1977,1,PG,117,USA,Fred Zinnemann,Drama,English,20th Century Fox Film Corporation,58.0,7.2
Star Wars: Episode IV - A New Hope,1977,5,PG,121,USA,George Lucas,Action,English,20th Century Fox,90.0,8.6
The Turning Point,1977,11,PG,119,USA,Herbert Ross,Drama,English,Paramount Pictures,68.0,6.9
Coming Home,1978,2,R,127,USA,Hal Ashby,Drama,English,MGM Home Entertainment,61.0,7.3
The Deer Hunter,1978,2,R,183,USA,Michael Cimino,Drama,English,Universal Pictures,86.0,8.1
Heaven Can Wait,1978,6,PG,101,USA,"Warren Beatty, Buck Henry",Comedy,English,Paramount Home Video,72.0,6.9
Midnight Express,1978,10,R,121,UK,Alan Parker,Biography,English,Sony Pictures Home Entertainment,59.0,7.6
An Unmarried Woman,1978,5,R,124,USA,Paul Mazursky,Comedy,English,20th Century Fox Film Corporation,,7.1
All That Jazz,1979,12,R,123,USA,Bob Fosse,Drama,English,20th Century Fox Film Corporation,72.0,7.9
Apocalypse Now,1979,8,R,147,USA,Francis Ford Coppola,Drama,English,United Artists,94.0,8.4
Breaking Away,1979,7,PG,101,USA,Peter Yates,Comedy,English,Twentieth Century Fox,91.0,7.7
Kramer vs. Kramer,1979,12,PG,105,USA,Robert Benton,Drama,English,Sony Pictures Home Entertainment,77.0,7.8
Norma Rae,1979,3,PG,114,USA,Martin Ritt,Drama,English,20th Century Fox Film Corporat,61.0,7.3
Coal Miner's Daughter,1980,3,PG,124,USA,Michael Apted,Biography,English,MCA Universal Home Video,87.0,7.5
The Elephant Man,1980,10,PG,124,USA,David Lynch,Biography,English,Paramount,77.0,8.1
Ordinary People,1980,2,R,124,USA,Robert Redford,Drama,English,Paramount Pictures,87.0,7.7
Raging Bull,1980,12,R,129,USA,Martin Scorsese,Biography,English,United Artists,89.0,8.2
Chariots of Fire,1981,4,PG,125,UK,Hugh Hudson,Biography,English,20th Century Fox,78.0,7.2
On Golden Pond,1981,2,PG,109,UK,Mark Rydell,Drama,English,Twentieth Century Fox Home Entertainment,68.0,7.6
Raiders of the Lost Ark,1981,6,PG,115,USA,Steven Spielberg,Action,English,Paramount Pictures,85.0,8.4
Reds,1981,12,PG,195,USA,Warren Beatty,Biography,English,Paramount Home Video,76.0,7.3
E.T. the Extra-Terrestrial,1982,6,PG,115,USA,Steven Spielberg,Family,English,Universal Pictures,91.0,7.8
Gandhi,1982,2,PG,191,UK,Richard Attenborough,Biography,English,Columbia Pictures,79.0,8.0
Missing,1982,3,PG,122,USA,Costa-Gavras,Biography,English,Universal Pictures,78.0,7.7
Tootsie,1982,12,PG,116,USA,Sydney Pollack,Comedy,English,Columbia Pictures,88.0,7.4
The Verdict,1982,12,R,129,USA,Sidney Lumet,Drama,English,Twentieth Century Fox Home Entertainment,77.0,7.7
The Big Chill,1983,9,R,105,USA,Lawrence Kasdan,Comedy,English,Columbia Pictures,61.0,7.2
The Dresser,1983,12,PG,118,UK,Peter Yates,Drama,English,Sony Pictures Entertainment,,7.7
The Right Stuff,1983,2,PG,193,USA,Philip Kaufman,Adventure,English,Warner Bros. Pictures,91.0,7.8
Tender Mercies,1983,6,PG,92,USA,Bruce Beresford,Drama,English,HBO Video,,7.4
Terms of Endearment,1983,12,PG,132,USA,James L. Brooks,Comedy,English,Paramount Pictures,79.0,7.4
Amadeus,1984,9,R,160,USA,Milos Forman,Biography,English,Warner Bros. Pictures,88.0,8.3
The Killing Fields,1984,2,R,141,UK,Roland Joffé,Biography,English,Warner Home Video,76.0,7.8
A Passage to India,1984,2,PG,164,UK,David Lean,Adventure,English,Sony Pictures Entertainment,,7.3
Places in the Heart,1984,10,PG,111,USA,Robert Benton,Drama,English,Twentieth Century Fox Home Entertainment,70.0,7.3
A Soldier's Story,1984,11,PG,101,USA,Norman Jewison,Crime,English,Sony Pictures Home Entertainment,,7.2
The Color Purple,1985,2,PG-13,154,USA,Steven Spielberg,Drama,English,Warner Home Video,78.0,7.8
Kiss of the Spider Woman,1985,7,R,120,Brazil,Hector Babenco,Drama,English,Strand Releasing,80.0,7.4
Out of Africa,1985,12,PG,161,USA,Sydney Pollack,Biography,English,Universal Pictures,69.0,7.2
Prizzi's Honor,1985,6,R,130,USA,John Huston,Comedy,English,Fox,84.0,6.7
Witness,1985,2,R,112,USA,Peter Weir,Crime,English,Paramount Pictures,76.0,7.4
Children of a Lesser God,1986,10,R,119,USA,Randa Haines,Drama,English,Paramount Pictures,80.0,7.2
Hannah and Her Sisters,1986,3,PG-13,107,USA,Woody Allen,Comedy,English,Orion Pictures,90.0,7.9
The Mission,1986,10,PG,125,UK,Roland Joffé,Adventure,English,Warner Home Video,55.0,7.4
Platoon,1986,2,R,120,USA,Oliver Stone,Drama,English,Orion Pictures,92.0,8.1
Broadcast News,1987,12,R,133,USA,James L. Brooks,Comedy,English,Twentieth Century Fox Home Entertainment,84.0,7.2
Fatal Attraction,1987,9,R,119,USA,Adrian Lyne,Drama,English,Paramount Pictures,67.0,6.9
Hope and Glory,1987,2,PG-13,113,UK,John Boorman,Comedy,English,Nelson Entertainment,,7.3
The Last Emperor,1987,4,PG-13,163,UK,Bernardo Bertolucci,Biography,English,Columbia Pictures,76.0,7.7
Moonstruck,1987,1,PG,102,USA,Norman Jewison,Comedy,English,MGM Home Entertainment,83.0,7.1
The Accidental Tourist,1988,1,PG,121,USA,Lawrence Kasdan,Drama,English,Warner Home Video,53.0,6.8
Dangerous Liaisons,1988,2,R,119,USA,Stephen Frears,Drama,English,Warner Home Video,74.0,7.6
Mississippi Burning,1988,1,R,128,USA,Alan Parker,Crime,English,Orion Pictures Corporation,65.0,7.8
Rain Man,1988,12,R,133,USA,Barry Levinson,Drama,English,MGM,65.0,8.0
Working Girl,1988,12,R,113,USA,Mike Nichols,Comedy,English,20th Century Fox,73.0,6.8
Born on the Fourth of July,1989,1,R,145,USA,Oliver Stone,Biography,English,Universal Pictures,75.0,7.2
Dead Poets Society,1989,6,PG,128,USA,Peter Weir,Comedy,English,Buena Vista Pictures,79.0,8.1
Driving Miss Daisy,1989,1,PG,99,USA,Bruce Beresford,Drama,English,Fathom Events,81.0,7.4
Field of Dreams,1989,5,PG,107,USA,Phil Alden Robinson,Drama,English,Universal Pictures,57.0,7.5
My Left Foot,1989,3,R,103,Ireland,Jim Sheridan,Biography,English,HBO Video,97.0,7.9
Awakenings,1990,1,PG-13,121,USA,Penny Marshall,Biography,English,Columbia Pictures,74.0,7.8
Dances with Wolves,1990,11,PG-13,181,USA,Kevin Costner,Adventure,English,Orion Pictures,72.0,8.0
Ghost,1990,7,PG-13,127,USA,Jerry Zucker,Drama,English,Paramount Pictures,52.0,7.0
The Godfather: Part III,1990,12,R,162,USA,Francis Ford Coppola,Crime,English,Paramount Pictures,60.0,7.6
Beauty and the Beast,1991,11,G,84,USA,"Gary Trousdale, Kirk Wise",Animation,English,Buena Vista,95.0,8.0
Bugsy,1991,12,R,136,USA,Barry Levinson,Biography,English,Sony Pictures Home Entertainment,80.0,6.8
JFK,1991,12,R,189,France,Oliver Stone,Drama,English,Warner Bros.,72.0,8.0
The Prince of Tides,1991,12,R,132,USA,Barbra Streisand,Drama,English,Sony Pictures Home Entertainment,65.0,6.7
The Silence of the Lambs,1991,2,R,118,USA,Jonathan Demme,Crime,English,Orion Pictures Corporation,85.0,8.6
The Crying Game,1992,2,R,112,UK,Neil Jordan,Crime,English,Live Home Video,90.0,7.2
A Few Good Men,1992,12,R,138,USA,Rob Reiner,Drama,English,Columbia Pictures,62.0,7.7
Howards End,1992,2,PG,142,UK,James Ivory,Drama,English,Sony Pictures Home Entertainment,89.0,7.4
Scent of a Woman,1992,1,R,156,USA,Martin Brest,Drama,English,Universal Pictures,59.0,8.0
Unforgiven,1992,8,R,130,USA,Clint Eastwood,Drama,English,Warner Bros. Pictures,85.0,8.2
The Fugitive,1993,8,PG-13,130,USA,Andrew Davis,Action,English,Warner Bros. Pictures,87.0,7.8
In the Name of the Father,1993,2,R,133,Ireland,Jim Sheridan,Biography,English,Universal Pictures,84.0,8.1
The Piano,1993,2,R,121,New Zealand,Jane Campion,Drama,English,Miramax Films,89.0,7.6
The Remains of the Day,1993,11,PG,134,USA,James Ivory,Drama,English,Sony Pictures Home Entertainment,84.0,7.8
Schindler's List,1993,2,R,195,USA,Steven Spielberg,Biography,English,Universal Pictures,94.0,8.9
Forrest Gump,1994,7,PG-13,142,USA,Robert Zemeckis,Drama,English,Paramount Pictures,82.0,8.8
Four Weddings and a Funeral,1994,4,R,117,UK,Mike Newell,Comedy,English,Gramercy Pictures,81.0,7.0
Pulp Fiction,1994,10,R,154,USA,Quentin Tarantino,Crime,English,Miramax Films,94.0,8.9
Quiz Show,1994,10,PG-13,133,USA,Robert Redford,Biography,English,Buena Vista Internationa,88.0,7.5
The Shawshank Redemption,1994,10,R,142,USA,Frank Darabont,Drama,English,Columbia Pictures,80.0,9.3
Apollo 13,1995,6,PG,140,USA,Ron Howard,Adventure,English,Universal Pictures,77.0,7.6
Babe,1995,8,G,91,Australia,Chris Noonan,Comedy,English,Universal Pictures,83.0,6.7
Braveheart,1995,5,R,178,USA,Mel Gibson,Biography,English,Paramount Pictures,68.0,8.3
Sense and Sensibility,1995,1,PG,136,USA,Ang Lee,Drama,English,Columbia Pictures,84.0,7.6
The English Patient,1996,12,R,162,USA,Anthony Minghella,Drama,English,Miramax Films,87.0,7.4
Fargo,1996,4,R,98,USA,"Joel Coen, Ethan Coen",Crime,English,MGM,85.0,8.1
Jerry Maguire,1996,12,R,139,USA,Cameron Crowe,Comedy,English,TriStar Pictures,77.0,7.3
Secrets & Lies,1996,2,R,136,UK,Mike Leigh,Drama,English,Twentieth Century Fox Home Entertainment,91.0,8.0
Shine,1996,2,PG-13,105,Australia,Scott Hicks,Biography,English,New Line Home Entertainment,87.0,7.7
As Good as It Gets,1997,12,PG-13,139,USA,James L. Brooks,Comedy,English,TriStar Pictures,67.0,7.7
The Full Monty,1997,9,R,91,UK,Peter Cattaneo,Comedy,English,Twentieth Century Fox Home Entertainment,75.0,7.2
Good Will Hunting,1997,1,R,126,USA,Gus Van Sant,Drama,English,Miramax Films,70.0,8.3
L.A. Confidential,1997,9,R,138,USA,Curtis Hanson,Crime,English,Warner Bros. Pictures,90.0,8.2
Titanic,1997,12,PG-13,194,USA,James Cameron,Drama,English,Paramount Pictures,75.0,7.8
Elizabeth,1998,2,R,124,UK,Shekhar Kapur,Biography,English,Gramercy,75.0,7.4
Saving Private Ryan,1998,7,R,169,USA,Steven Spielberg,Drama,English,Paramount Pictures,91.0,8.6
Shakespeare in Love,1998,1,R,123,USA,John Madden,Comedy,English,Miramax,87.0,7.1
The Thin Red Line,1998,1,R,170,USA,Terrence Malick,Drama,English,20th Century Fox,78.0,7.6
American Beauty,1999,10,R,122,USA,Sam Mendes,Drama,English,Dreamworks,84.0,8.3
The Cider House Rules,1999,1,PG-13,126,USA,Lasse Hallström,Drama,English,Miramax,75.0,7.4
The Green Mile,1999,12,R,189,USA,Frank Darabont,Crime,English,Warner Bros. Pictures,61.0,8.6
The Insider,1999,11,R,157,USA,Michael Mann,Biography,English,Buena Vista Pictures,84.0,7.8
The Sixth Sense,1999,8,PG-13,107,USA,M. Night Shyamalan,Drama,English,Hollywood/Buena Vista,64.0,8.1
Chocolat,2000,1,PG-13,121,UK,Lasse Hallström,Drama,English,Miramax,64.0,7.2
"Crouching Tiger, Hidden Dragon",2000,1,PG-13,120,Taiwan,Ang Lee,Action,Mandarin,Sony Pictures Classics,93.0,7.8
Erin Brockovich,2000,3,R,131,USA,Steven Soderbergh,Biography,English,Universal Pictures,73.0,7.3
Gladiator,2000,5,R,155,USA,Ridley Scott,Action,English,Dreamworks Distribution LLC,67.0,8.5
Traffic,2000,1,R,147,USA,Steven Soderbergh,Crime,English,USA Films,86.0,7.6
A Beautiful Mind,2001,1,PG-13,135,USA,Ron Howard,Biography,English,Universal Pictures,72.0,8.2
Gosford Park,2001,1,R,131,USA,Robert Altman,Comedy,English,USA Films,90.0,7.2
In the Bedroom,2001,2,R,130,USA,Todd Field,Crime,English,Miramax Films,86.0,7.4
The Lord of the Rings: The Fellowship of the Ring,2001,12,PG-13,178,New Zealand,Peter Jackson,Adventure,English,New Line Cinema,92.0,8.8
Moulin Rouge!,2001,6,PG-13,127,Australia,Baz Luhrmann,Drama,English,20th Century Fox,66.0,7.6
Chicago,2002,1,PG-13,113,USA,Rob Marshall,Comedy,English,Miramax Films,82.0,7.1
Gangs of New York,2002,12,R,167,USA,Martin Scorsese,Crime,English,Miramax Films,72.0,7.5
The Hours,2002,2,PG-13,110,USA,Stephen Daldry,Drama,English,Miramax Films,80.0,7.5
The Lord of the Rings: The Two Towers,2002,12,PG-13,179,New Zealand,Peter Jackson,Adventure,English,New Line Cinema,87.0,8.7
The Pianist,2002,3,R,150,UK,Roman Polanski,Biography,English,Focus Features,85.0,8.5
The Lord of the Rings: The Return of the King,2003,12,PG-13,201,New Zealand,Peter Jackson,Adventure,English,New Line Cinema,94.0,8.9
Lost in Translation,2003,10,R,102,USA,Sofia Coppola,Drama,English,Focus Features,89.0,7.7
Master and Commander: The Far Side of the World,2003,11,PG-13,138,USA,Peter Weir,Action,English,20th Century Fox,81.0,7.4
Mystic River,2003,10,R,138,USA,Clint Eastwood,Crime,English,WB,84.0,7.9
Seabiscuit,2003,7,PG-13,140,USA,Gary Ross,Drama,English,Universal Pictures,72.0,7.3
The Aviator,2004,12,PG-13,170,USA,Martin Scorsese,Biography,English,Miramax,77.0,7.5
Finding Neverland,2004,12,PG,106,USA,Marc Forster,Biography,English,Miramax Films,67.0,7.7
Million Dollar Baby,2004,1,PG-13,132,USA,Clint Eastwood,Drama,English,Warner Bros. Pictures,86.0,8.1
Ray,2004,10,PG-13,152,USA,Taylor Hackford,Biography,English,Universal Pictures,73.0,7.7
Sideways,2004,1,R,127,USA,Alexander Payne,Comedy,English,Fox Searchlight Pictures,94.0,7.5
Brokeback Mountain,2005,1,R,134,USA,Ang Lee,Drama,English,Focus Features,87.0,7.7
Capote,2005,2,R,114,USA,Bennett Miller,Biography,English,Sony Pictures Classics,88.0,7.3
Crash,2005,3,,10,Spain,Nacho Vigalondo,Short,Spanish,,,6.3
"Good Night, and Good Luck.",2005,11,PG,93,USA,George Clooney,Biography,English,Warner Independent Pictures,80.0,7.4
Munich,2005,1,R,164,France,Steven Spielberg,Biography,English,Universal Pictures,74.0,7.5
Babel,2006,11,R,143,France,Alejandro G. Iñárritu,Drama,English,Paramount Classics,69.0,7.4
The Departed,2006,10,R,151,USA,Martin Scorsese,Crime,English,Warner Bros. Pictures,85.0,8.5
Letters from Iwo Jima,2006,2,R,141,USA,Clint Eastwood,Action,Japanese,Warner Bros. Pictures,89.0,7.9
Little Miss Sunshine,2006,8,R,101,USA,"Jonathan Dayton, Valerie Faris",Comedy,English,Fox Searchlight,80.0,7.8
The Queen,2006,11,PG-13,103,UK,Stephen Frears,Biography,English,Miramax Films,91.0,7.3
Atonement,2007,1,R,123,UK,Joe Wright,Drama,English,Focus Features,85.0,7.8
Juno,2007,12,PG-13,96,USA,Jason Reitman,Comedy,English,Fox Searchlight,81.0,7.4
Michael Clayton,2007,10,R,119,USA,Tony Gilroy,Crime,English,Warner Bros. Pictures,82.0,7.2
No Country for Old Men,2007,11,R,122,USA,"Ethan Coen, Joel Coen",Crime,English,Miramax Films,91.0,8.1
There Will Be Blood,2007,1,R,158,USA,Paul Thomas Anderson,Drama,English,Paramount Vantage,93.0,8.1
The Curious Case of Benjamin Button,2008,12,PG-13,166,USA,David Fincher,Drama,English,Paramount,70.0,7.8
Frost/Nixon,2008,1,R,122,UK,Ron Howard,Biography,English,Universal Pictures,80.0,7.7
Milk,2008,1,R,128,USA,Gus Van Sant,Biography,English,Focus Features,84.0,7.5
The Reader,2008,1,R,124,Germany,Stephen Daldry,Drama,English,The Weinstein Co./MGM,58.0,7.6
Slumdog Millionaire,2008,12,R,120,UK,"Danny Boyle, Loveleen Tandan(co-director)",Drama,English,Fox Searchlight Pictures,86.0,8.0
Avatar,2009,12,PG-13,162,USA,James Cameron,Action,English,20th Century Fox,83.0,7.8
The Blind Side,2009,11,PG-13,129,USA,John Lee Hancock,Biography,English,Warner Bros. Pictures,53.0,7.6
District 9,2009,8,R,112,South Africa,Neill Blomkamp,Action,English,Sony Pictures/Screen Gems,81.0,7.9
An Education,2009,2,PG-13,100,UK,Lone Scherfig,Drama,English,Sony Classics,85.0,7.3
Inglourious Basterds,2009,8,R,153,USA,Quentin Tarantino,Adventure,English,The Weinstein Company,69.0,8.3
A Serious Man,2009,11,R,106,USA,"Ethan Coen, Joel Coen",Comedy,English,Focus Features,79.0,7.0
Up,2009,5,PG,96,USA,"Pete Docter, Bob Peterson(co-director)",Animation,English,Walt Disney Pictures,88.0,8.2
Up in the Air,2009,12,R,109,USA,Jason Reitman,Comedy,English,Paramount Pictures,83.0,7.4
Black Swan,2010,12,R,108,USA,Darren Aronofsky,Drama,English,Fox Searchlight,79.0,8.0
The Fighter,2010,12,R,116,USA,David O. Russell,Biography,English,Paramount Pictures,79.0,7.8
Inception,2010,7,PG-13,148,USA,Christopher Nolan,Action,English,Warner Bros. Pictures,74.0,8.8
The Kids Are All Right,2010,7,R,106,USA,Lisa Cholodenko,Comedy,English,Focus Features,86.0,7.0
The King's Speech,2010,12,R,118,UK,Tom Hooper,Biography,English,The Weinstein Company,88.0,8.0
127 Hours,2010,1,R,94,USA,Danny Boyle,Biography,English,Fox Searchlight,82.0,7.6
The Social Network,2010,10,PG-13,120,USA,David Fincher,Biography,English,Columbia Pictures,95.0,7.7
Toy Story 3,2010,6,G,103,USA,Lee Unkrich,Animation,English,Walt Disney Pictures,92.0,8.3
True Grit,2010,12,PG-13,110,USA,"Ethan Coen, Joel Coen",Drama,English,Paramount Pictures,80.0,7.6
Winter's Bone,2010,7,R,100,USA,Debra Granik,Drama,English,Roadside Attractions,90.0,7.2
The Artist,2011,1,PG-13,100,France,Michel Hazanavicius,Comedy,English,The Weinstein Company,89.0,7.9
The Descendants,2011,12,R,115,USA,Alexander Payne,Comedy,English,Fox Searchlight Pictures,84.0,7.3
Extremely Loud & Incredibly Close,2011,1,PG-13,129,USA,Stephen Daldry,Adventure,English,Warner Bros. Pictures,46.0,6.9
The Help,2011,8,PG-13,146,USA,Tate Taylor,Drama,English,DreamWorks Studios,62.0,8.1
Hugo,2011,11,PG,126,UK,Martin Scorsese,Drama,English,Paramount Studios,83.0,7.5
Midnight in Paris,2011,6,PG-13,94,Spain,Woody Allen,Comedy,English,Sony Pictures Classics,81.0,7.7
Moneyball,2011,9,PG-13,133,USA,Bennett Miller,Biography,English,Sony Pictures,87.0,7.6
The Tree of Life,2011,5,PG-13,139,USA,Terrence Malick,Drama,English,Fox Searchlight,85.0,6.8
War Horse,2011,12,PG-13,146,USA,Steven Spielberg,Action,English,Walt Disney Pictures,72.0,7.2
Amour,2012,9,PG-13,127,Austria,Michael Haneke,Drama,French,Sony Pictures Classics,94.0,7.9
Argo,2012,10,R,120,USA,Ben Affleck,Biography,English,Warner Bros. Pictures,86.0,7.7
Beasts of the Southern Wild,2012,7,PG-13,93,USA,Benh Zeitlin,Adventure,English,Fox Searchlight,86.0,7.3
Django Unchained,2012,12,R,165,USA,Quentin Tarantino,Drama,English,The Weinstein Co.,81.0,8.4
Les Misérables,2012,12,PG-13,158,UK,Tom Hooper,Drama,English,Universal Pictures,63.0,7.6
Life of Pi,2012,11,PG,127,USA,Ang Lee,Adventure,English,20th Century Fox,79.0,7.9
Lincoln,2012,11,PG-13,150,USA,Steven Spielberg,Biography,English,Dreamworks Pictures,86.0,7.3
Silver Linings Playbook,2012,12,R,122,USA,David O. Russell,Comedy,English,The Weinstein Company,81.0,7.7
Zero Dark Thirty,2012,1,R,157,USA,Kathryn Bigelow,Drama,English,Columbia Pictures,95.0,7.4
American Hustle,2013,12,R,138,USA,David O. Russell,Crime,English,Sony Pictures,90.0,7.2
Captain Phillips,2013,10,PG-13,134,USA,Paul Greengrass,Biography,English,Sony Pictures,83.0,7.8
Dallas Buyers Club,2013,11,R,117,USA,Jean-Marc Vallée,Biography,English,Focus Features,84.0,8.0
Gravity,2013,10,PG-13,91,UK,Alfonso Cuarón,Drama,English,Warner Bros. Pictures,96.0,7.7
Her,2013,1,R,126,USA,Spike Jonze,Drama,English,Warner Bros. Pictures,90.0,8.0
Nebraska,2013,1,R,115,USA,Alexander Payne,Adventure,English,Paramount Pictures,86.0,7.7
Philomena,2013,11,PG-13,98,UK,Stephen Frears,Biography,English,The Weinstein Company,77.0,7.6
12 Years a Slave,2013,11,R,134,USA,Steve McQueen,Biography,English,Fox Searchlight,96.0,8.1
The Wolf of Wall Street,2013,12,R,180,USA,Martin Scorsese,Biography,English,Paramount Studios,75.0,8.2
American Sniper,2014,1,R,133,USA,Clint Eastwood,Action,English,Warner Bros.,72.0,7.3
Birdman or (The Unexpected Virtue of Ignorance),2014,11,R,119,USA,Alejandro G. Iñárritu,Comedy,English,Fox Searchlight,87.0,7.7
Boyhood,2014,8,R,165,USA,Richard Linklater,Drama,English,IFC Films,100.0,7.9
